t,y,x,id,parent_id,track_id,area
0,108.96434359805511,108.10048622366288,76,,1,617
0,128.9816513761468,135.22935779816513,86,,2,545
0,92.94509803921568,253.61764705882354,94,,3,510
0,128.37423312883436,258.7586912,98,,4,489
0,143.1946902654867,217.2367256637168,102,,5,452
0,154.1855421686747,239.20481927710844,112,,6,415
1,108.7487922705314,108.3768115942029,442,76,1,621
1,128.56679389312978,135.70801526717557,452,86,2,524
1,93.86501901140684,252.94106463878327,460,94,3,526
1,128.99025341130604,259.3762183235867,464,98,4,513
1,143.61747572815534,219.93203883495147,468,102,5,515
1,158.11374407582937,239.4170616113744,478,112,6,422
2,108.41566265060241,111.01355421686748,808,442,1,664
2,128.1570093457944,137.90280373831774,818,452,2,535
2,92.86527514231499,253.20872865275143,826,460,3,527
2,127.57782101167315,260.0252918287938,830,464,4,514
2,141.63789868667916,222.59849906191369,834,468,5,533
2,158.81087470449174,240.1229314420804,844,478,6,423
3,110.73607038123167,112.09384164222874,1174,808,1,682
3,129.34412265758093,139.57069846678024,1184,818,2,587
3,92.97845601436266,251.99820466786355,1192,826,3,557
3,127.69832402234637,259.4040968342644,1196,830,4,537
3,143.52504638218923,218.4935064935065,1200,834,5,539
3,159.08665105386416,238.0327868852459,1210,844,6,427
4,110.67521367521367,113.11253561253561,1540,1174,1,702
4,131.02260869565217,144.22434782608696,1550,1184,2,575
4,90.89980353634577,249.0294695481336,1558,1192,3,509
4,124.81754385964912,259.9122807017544,1562,1196,4,570
4,143.93617021276594,218.74290780141843,1566,1200,5,564
4,159.93574297188755,236.46184738955824,1576,1210,6,498
5,110.43115438108484,113.5424200278164,1906,1540,1,719
5,129.94171220400727,147.60109289617486,1916,1550,2,549
5,92.05061082024433,248.69633507853402,1924,1558,3,573
5,128.4401993355482,256.2923588039867,1928,1562,4,602
5,149.65579710144928,214.4003623188406,1932,1566,5,552
5,176.5,225.54605263157896,1944,1576,7,152
5,150.38938053097345,238.4867256637168,1945,1576,8,113
6,108.51645207439199,111.87696709585121,2272,1906,1,699
6,133.94833948339485,148.4630996309963,2282,1916,2,542
6,96.10294118,250.63888888888889,2290,1924,3,612
6,131.18600368324124,264.30755064456724,2294,1928,4,543
6,152.2754716981132,213.72264150943397,2298,1932,5,530
6,175.70750988142294,226.63636363636363,2310,1944,7,253
6,150.4308300395257,242.82608695652175,2311,1945,8,253
7,111.23633879781421,111.5,2638,2272,1,732
7,131.06506849315068,147.6181506849315,2648,2282,2,584
7,94.45040650406504,250.37723577235772,2656,2290,3,615
7,129.98497495826376,270.0016694490818,2660,2294,4,599
7,147.28904847396768,217.53859964093357,2664,2298,5,557
7,176.7859531772575,223.0401337792642,2676,2310,7,299
7,152.3,245.73529411764707,2677,2311,8,340
8,109.14760638297872,111.75,3004,2638,1,752
8,133.41736227045075,143.6777963,3014,2648,2,599
8,95.8,249.7015625,3022,2656,3,640
8,130.2066772655008,268.7138314785374,3026,2660,4,629
8,160.02542372881356,198.71186440677965,3032,,9,118
8,134.38524590163934,217.48360655737704,3033,2664,5,122
8,174.94074074074075,223.1925925925926,3042,2676,7,405
8,150.63756613756613,242.43650793650792,3043,2677,8,378
9,106.90760869565217,111.58016304347827,3370,3004,1,736
9,132.88888888888889,142.25508607198748,3380,3014,2,639
9,94.54790419161677,254.3562874251497,3388,3022,3,668
9,133.13023255813954,276.1596899224806,3392,3026,4,645
9,155.66096866096865,201.91737891737893,3398,3032,9,351
9,132.09677419354838,224.66935483870967,3399,3033,5,248
9,177.2863436123348,221.3942731277533,3408,3042,7,454
9,149.22650602409638,247.0578313253012,3409,3043,8,415
10,104.24279835390946,109.0727023319616,3733,3370,1,729
10,131.4485294117647,140.21323529411765,3743,3380,2,680
10,94.75851851851851,253.67407407407407,3751,3388,3,675
10,135.93343419062026,277.68532526475036,3755,3392,4,661
10,156.7797927,202.0777202072539,3761,3398,9,386
10,128.31487889273356,229.31487889273356,3762,3399,5,289
10,182.2362768,216.79474940334129,3771,3408,7,419
10,153.05240174672488,243.82096069868996,3772,3409,8,458
11,104.75512995896032,106.86593707250341,4107,3733,1,731
11,130.2875175315568,138.83730715287518,4117,3743,2,713
11,95.97196261682242,252.01557632398755,4125,3751,3,642
11,137.00148367952522,275.39614243323444,4129,3755,4,674
11,159.6575,201.81,4135,3761,9,400
11,126.60632183908046,233.77586206896552,4136,3762,5,348
11,184.90997566909977,215.35766423357666,4145,3771,7,411
11,151.91460674157304,238.37977528089888,4146,3772,8,445
12,93.34946236559139,108.19354838709677,4481,4107,1,558
12,123.72337482710927,136.55463347164593,4491,4117,2,723
12,93.84122137,252.6946564885496,4499,4125,3,655
12,136.67964071856287,276.70508982035926,4503,4129,4,668
12,158.609375,200.80357142857142,4509,4135,9,448
12,119.63903743315508,244.22727272727272,4510,4136,5,374
12,185.9521640091116,210.29157175398635,4519,4145,7,439
12,152.07036247334756,239.44349680170575,4520,4146,8,469
13,110.83257918552036,101.95475113122171,4857,4481,10,221
13,81.90410959,102.17808219178082,4858,4481,11,219
13,122.14366197183098,137.31126760563382,4865,4491,2,710
13,94.94518518518518,252.3674074074074,4873,4499,3,675
13,139.4686567164179,277.1820895522388,4877,4503,4,670
13,156.9206349206349,200.24716553287982,4883,4509,9,441
13,120.29100529100529,244.6851851851852,4884,4510,5,378
13,187.3716814159292,208.04424778761063,4893,4519,7,452
13,154.10276679841897,236.53754940711462,4894,4520,8,506
14,112.8391167192429,93.79179810725552,5231,4857,10,317
14,82.85906040268456,100.63758389261746,5232,4858,11,298
14,129.64737793851717,151.54430379746836,5239,4865,2,553
14,94.71929824561404,252.75877192982455,5247,4873,3,684
14,140.578125,279.25852272727275,5251,4877,4,704
14,155.60843373493975,200.47791164658634,5257,4883,9,498
14,119.30179028132993,248.75191815856778,5258,4884,5,391
14,184.69612068965517,209.7801724137931,5267,4893,7,464
14,151.67722772277227,240.73267326732673,5268,4894,8,505
15,111.98924731182795,94.23924731182795,5605,5231,10,372
15,80.29565217391304,100.6608695652174,5606,5232,11,345
15,115.61710037174721,122.15985130111524,5615,,12,269
15,134.1534090909091,146.73863636363637,5616,5239,2,352
15,94.34782608695652,253.0420757363254,5621,5247,3,713
15,143.51599443671768,277.53685674547984,5625,5251,4,719
15,152.4331983805668,204.917004,5631,5257,9,494
15,118.88592233009709,251.9271844660194,5632,5258,5,412
15,185.4232456140351,205.90131578947367,5641,5267,7,456
15,152.0797546,243.63803680981596,5642,5268,8,489
16,113.92746113989638,95.48445595854922,5971,5605,10,386
16,82.16486486486487,98.58918918918918,5972,5606,11,370
16,120.46204620462046,115.41914191419141,5981,5615,12,303
16,135.3681592039801,149.24129353233832,5982,5616,2,402
16,96.13739376770538,254.02407932011332,5987,5621,3,706
16,143.80113636363637,277.24857954545456,5991,5625,4,704
16,153.39787234042552,203.7148936170213,5997,5631,9,470
16,120.7072072072072,246.6891891891892,5998,5632,5,444
16,185.5010752688172,207.7505376344086,6007,5641,7,465
